positiv,komparativ,superlativ
präoperativ,—,—
tragikomisch,tragikomischer,am tragikomischsten
islamitisch,—,—
grobporig,grobporiger,am grobporigsten
subversiv,subversiver,am subversivsten
unbehauen,—,—
gekniffen,—,—
ausführlich,ausführlicher,am ausführlichsten
elfmalig,—,—
wievielte,—,—
regional,—,—
neural,—,—
journalistisch,—,—
gleichzeitig,—,—
befotzt,—,—
etruskisch,—,—
verzichtbar,—,—
stocksteif,—,—
zollrechtlich,—,—
prachtvoll,prachtvoller,am prachtvollsten
schreibfaul,schreibfauler,am schreibfaulsten
höflich,höflicher,am höflichsten
blümerant,—,—
dreistündig,—,—
verfristet,—,—
orientierungslos,orientierungsloser,am orientierungslosesten
hartnäckig,hartnäckiger,am hartnäckigsten
clean,cleaner,am cleansten
achttägig,—,—
scheelsüchtig,—,—
unreif,unreifer,am unreifsten
phonometrisch,—,—
doppelbödig,—,—
ungerechnet,—,—
verpönt,verpönter,am verpöntesten
spinal,—,—
pausbäckig,pausbäckiger,am pausbäckigsten
uralt,—,—
leid,leider,am leidesten
nahestehend,nahestehender,am nahestehendsten
intermolekular,—,—
butterig,butteriger,am butterigsten
unverantwortbar,—,—
schäfchenweiß,—,—
melkfrisch,—,—
allererste,—,—
hoheitlich,hoheitlicher,am hoheitlichsten
erwerbslos,—,—
pronominal,—,—
symphonisch,symphonischer,am symphonischsten
wagemutig,wagemutiger,am wagemutigsten
rachsüchtig,rachsüchtiger,am rachsüchtigsten
zapplig,zappliger,am zappligsten
arrogant,arroganter,am arrogantesten
geborgen,geborgener,am geborgensten
kirre,kirrer,am kirrstenam kirresten
ehebrecherisch,ehebrecherischer,am ehebrecherischsten
finanzstark,finanzstärker,am finanzstärksten
transnational,transnationaler,am transnationalsten
wohlfundiert,—,—
gestohlen,—,—
kreidebleich,—,—
aquamarin,aquamariner,am aquamarinsten
kampfgewöhnt,—,—
erbarmungslos,erbarmungsloser,am erbarmungslosesten
südafrikanisch,—,—
protektiv,protektiver,am protektivsten
salient,salienter,am salientesten
wahrscheinlich,wahrscheinlicher,am wahrscheinlichsten
korpulent,korpulenter,am korpulentesten
eschatologisch,eschatologischer,am eschatologischsten
einspurig,—,—
fetal,—,—
ultrakonservativ,—,—
lichtundurchlässig,lichtundurchlässiger,am lichtundurchlässigsten
abgashaltig,—,—
multimedial,multimedialer,am multimedialsten
diabetisch,—,—
unehrerbietig,unehrerbietiger,am unehrerbietigsten
spätmittelalterlich,—,—
ökologisch,—,—
onomatopoetisch,—,—
versaut,versauter,am versautesten
altertumswissenschaftlich,—,—
mediäval,—,—
dosenförmig,—,—
lesbisch,—,—
brotlos,brotloser,am brotlosesten
senil,seniler,am senilsten
langstänglig,langstängliger,am langstängligsten
grippös,grippöser,am grippösesten
israelisch,israelischer,am israelischsten
totipotent,—,—
zentral,zentraler,am zentralsten
präventiv,präventiver,am präventivsten
unbehandelt,—,—
vollschlank,—,—
beleuchtet,—,—
komatös,—,—
genbasiert,—,—
weiß-rot,—,—
relativisch,—,—
temperat,—,—
autark,autarker,am autarksten
angeflanscht,—,—
hetero,—,—
mandelförmig,—,—
sozialdarwinistisch,—,—
schnörkelhaft,schnörkelhafter,am schnörkelhaftesten
unlösbar,unlösbarer,am unlösbarsten
pompös,pompöser,am pompösesten
sauertöpfisch,sauertöpfischer,am sauertöpfischsten
achter,—,am achtersten
ikonoklastisch,ikonoklastischer,am ikonoklastischsten
modular,modularer,am modularsten
siegesbewusst,siegesbewusster,am siegesbewusstesten
urheberrechtlich,—,—
oxydisch,—,—
antriebslos,antriebsloser,am antriebslosesten
30-minütig,—,—
flugunfähig,—,—
bilifer,—,—
unrichtig,—,—
philatelistisch,—,—
scheinheilig,scheinheiliger,am scheinheiligsten
achtstellig,—,—
hastig,hastiger,am hastigsten
verfassungsfeindlich,verfassungsfeindlicher,am verfassungsfeindlichsten
orthodox,orthodoxer,am orthodoxesten
bodenlang,—,—
hämisch,hämischer,am hämischsten
schreckenerregend,schreckenerregender,am schreckenerregendsten
zirkummediterran,—,—
praxisnah,praxisnaherpraxisnäher,am praxisnahstenam praxisnahestenam praxisnächsten
verächtlich,verächtlicher,am verächtlichsten
beeinflusst,beeinflusster,am beeinflusstesten
gleichaltrig,—,—
judenteutsch,—,—
wildlebend,—,—
regendicht,—,—
ausgeglichen,ausgeglichenerausgeglichner,am ausgeglichensten
jahrzehntelang,—,—
benachrangt,—,—
geköpert,—,—
unbelehrbar,unbelehrbarer,am unbelehrbarsten
substantivisch,—,—
postlagernd,—,—
russisch,russischer,am russischsten
weingelb,—,—
kriegsführend,—,—
eigenständig,eigenständiger,am eigenständigsten
flach,flacher,am flachsten
katotherm,—,—
trendy,—,—
asphaltisch,—,—
keulenförmig,—,—
errechenbar,—,—
supergen,—,—
zwiespältig,zwiespältiger,am zwiespältigsten
nächtlich,nächtlicher,am nächtlichsten
verworfen,verworfener,am verworfensten
akzidentell,—,—
metamorph,—,—
chaotisch,chaotischer,am chaotischsten
mythologisch,mythologischer,am mythologischsten
sechzigste,—,—
leblos,—,—
diskretionär,—,—
ungebändigt,—,—
spackig,spackiger,am spackigsten
breitrandig,breitrandiger,am breitrandigsten
partizipatorisch,—,—
selbstreferentiell,—,—
maßstabsgetreu,maßstabsgetreuer,am maßstabsgetreustenam maßstabsgetreuesten
altvorderasiatisch,—,—
dicklich,dicklicher,am dicklichsten
unerreichbar,unerreichbarer,am unerreichbarsten
zweitmeist,—,—
numinos,—,—
starrköpfig,starrköpfiger,am starrköpfigsten
pfändbar,—,—
unverschämt,unverschämter,am unverschämtesten
halbseiden,—,—
lippenförmig,—,—
mutterwindallein,—,—
abendfüllend,abendfüllender,am abendfüllendsten
einmonatig,—,—
bereitwillig,bereitwilliger,am bereitwilligsten
feil,—,—
tumultuarisch,tumultuarischer,am tumultuarischsten
pädagogisch,pädagogischer,am pädagogischsten
kontrovers,kontroverser,am kontroversesten
azurblau,—,—
ergiebig,ergiebiger,am ergiebigsten
talentfrei,—,—
ruandisch,—,—
rechtlich,rechtlicher,am rechtlichsten
wurmstichig,wurmstichiger,am wurmstichigsten
apokalyptisch,apokalyptischer,am apokalyptischsten
kastenförmig,—,—
vaskulär,—,—
palliativ,—,—
12-minütig,—,—
heiser,heiserer,am heisersten
bioklimatisch,—,—
imposant,imposanter,am imposantesten
schwäbisch,schwäbischer,am schwäbischsten
unheilig,unheiliger,am unheiligsten
polabisch,—,—
aktuell,aktueller,am aktuellsten
hemizygot,—,—
weltlich,weltlicher,am weltlichsten
respekteinflößend,respekteinflößender,am respekteinflößendsten
grammatikalisch,—,—
automorph,—,—
Genueser,—,—
undicht,undichter,am undichtesten
strohdumm,—,—
zehntpflichtig,—,—
proto-indoeuropäisch,—,—
vincentisch,—,—
beißend,beißender,am beißendsten
greis,greiser,am greisesten
iodidhaltig,iodidhaltiger,am iodidhaltigsten
gegenständlich,gegenständlicher,am gegenständlichsten
wettkampfmäßig,—,—
redaktionell,—,—
eklatant,eklatanter,am eklatantesten
aufmerksam,aufmerksamer,am aufmerksamsten
goschert,goscherter,am goschertsten
jäh,jäher,am jähesten
niederbayrisch,—,—
tiefblau,—,—
zukunftweisend,zukunftweisender,am zukunftweisendsten
proaktiv,proaktiver,am proaktivsten
übervorsichtig,übervorsichtiger,am übervorsichtigsten
streitbefangen,—,—
viereckig,—,—
evolutionär,—,—
begütert,begüterter,am begütertsten
hypoaktiv,—,—
verdeckt,—,—
ophthalmisch,—,—
anheimelnd,anheimelnder,am anheimelndsten
drall,draller,am drallsten
bleifrei,—,—
heidnisch,—,—
sinnesfreudig,sinnesfreudiger,am sinnesfreudigsten
unsportlich,unsportlicher,am unsportlichsten
pitschnass,—,—
schimärisch,schimärischer,am schimärischsten
daktylisch,—,—
unschädlich,unschädlicher,am unschädlichsten
phylogenetisch,—,—
schicksalhaft,schicksalhafter,am schicksalhaftesten
hantelförmig,—,—
verführerisch,verführerischer,am verführerischsten
osmotisch,—,—
marmorweiß,—,—
blutarm,blutärmer,am blutärmsten
hypogäisch,—,—
derogatorisch,—,—
postnatal,—,—
zoogeographisch,—,—
prim,—,—
vielgestaltig,vielgestaltiger,am vielgestaltigsten
bedeutsam,bedeutsamer,am bedeutsamsten
gingival,—,—
jemenitisch,—,—
winterfest,—,—
regungslos,regungsloser,am regungslosesten
lautlich,—,—
ausdauernd,ausdauernder,am ausdauerndsten
neuhochdeutsch,—,—
farbuneinheitlich,—,—
geigerisch,—,—
pumperlgesund,—,—
vorgängig,—,—
grenzüberschreitend,grenzüberschreitender,am grenzüberschreitendsten
lateinisch,—,—
emetisch,—,—
isentrop,—,—
unbedeutsam,unbedeutsamer,am unbedeutsamsten
zerrüttet,—,—
psychosomatisch,—,—
vorbeugend,—,—
bekömmlich,bekömmlicher,am bekömmlichsten
koffeinfrei,—,—
gemeingermanisch,—,—
kommunistisch,kommunistischer,am kommunistischsten
teilgekadert,—,—
weltbekannt,weltbekannter,am weltbekanntesten
reparabel,—,—
aussprechbar,—,—
mannshoch,—,—
drucktechnisch,—,—
anderweit,—,—
herrschsüchtig,herrschsüchtiger,am herrschsüchtigsten
frühreif,frühreifer,am frühreifsten
unnormal,unnormaler,am unnormalsten
positionsgetreu,—,—
schnelllebig,schnelllebiger,am schnelllebigsten
schaffnerlos,—,—
mittellos,mittelloser,am mittellosesten
mondlos,—,—
abwesend,—,—
idempotent,—,—
US-amerikanisch,US-amerikanischer,am US-amerikanischsten
palauisch,—,—
siebentäglich,—,—
6-prozentig,—,—
bigott,bigotter,am bigottesten
flüssigkeitsgekühlt,—,—
arbeitsmäßig,—,—
kalorienarm,kalorienärmer,am kalorienärmsten
ephemerisch,ephemerischer,am ephemerischsten
südwestlich,—,—
bedachtsam,bedachtsamer,am bedachtsamsten
einmütig,einmütiger,am einmütigsten
geflissentlich,geflissentlicher,am geflissentlichsten
femisch,—,—
umnachtet,—,—
leutselig,leutseliger,am leutseligsten
moskautreu,moskautreuer,am moskautreustenam moskautreuesten
abgelegen,abgelegenerabgelegner,am abgelegensten
deutsch-deutsch,—,—
unentfernbar,—,—
stadtbremisch,—,—
ungleichmäßig,ungleichmäßiger,am ungleichmäßigsten
mechulle,—,—
altnordisch,—,—
haarartig,haarartiger,am haarartigsten
brenzlich,brenzlicher,am brenzlichsten
interzellulär,—,—
serbisch-montenegrinisch,—,—
hochmütig,hochmütiger,am hochmütigsten
dividual,—,—
ungesühnt,ungesühnter,am ungesühntesten
spontansprachlich,—,—
vermummt,—,—
legislativ,—,—
interrogativ,—,—
nachteilig,nachteiliger,am nachteiligsten
bunt,bunter,am buntesten
sechspfündig,—,—
untragbar,—,—
allmorgendlich,—,—
homogen,homogener,am homogensten
meisterhaft,meisterhafter,am meisterhaftesten
erstaunt,erstaunter,am erstauntesten
gesellschaftsfähig,gesellschaftsfähiger,am gesellschaftsfähigsten
profund,profunder,am profundesten
völlig,völliger,am völligsten
synästhetisch,—,—
artistisch,artistischer,am artistischsten
kiloschwer,—,—
besiedelt,—,—
gedeckt,gedeckter,am gedecktesten
ebengleich,—,—
fiktional,—,—
wittenbergisch,—,—
traurig,trauriger,am traurigsten
krankheitsbedingt,—,—
getreidereich,getreidereicher,am getreidereichsten
gefährlich,gefährlicher,am gefährlichsten
widerständig,widerständiger,am widerständigsten
rege,reger,am regsten
auffällig,auffälliger,am auffälligsten
elektrogen,—,—
gnadenlos,gnadenloser,am gnadenlosesten
entzückend,entzückender,am entzückendsten
nigelnagelneu,—,—
jungenhaft,jungenhafter,am jungenhaftesten
zuschauerarm,zuschauerärmer,am zuschauerärmsten
programmiersprachenunabhängig,—,—
viersilbig,—,—
strafunmündig,—,—
begehrenswert,begehrenswerter,am begehrenswertesten
exogenetisch,—,—
konsonantisch,konsonantischer,am konsonantischsten
hussitisch,—,—
vererbbar,—,—
ordentlich,ordentlicher,am ordentlichsten
dreijährlich,—,—
blattlos,—,—
dysurisch,—,—
hautfarben,—,—
fraulich,fraulicher,am fraulichsten
unteraktiv,—,—
plastisch,plastischer,am plastischsten
schlangenförmig,—,—
datenschutzwidrig,—,—
moorartig,—,—
venezianisch,venezianischer,am venezianischsten
panisch,panischer,am panischsten
3-teilig,—,—
machbar,machbarer,am machbarsten
billig,billiger,am billigsten
immerwährend,—,—
defektiv,defektiver,am defektivsten
unterladen,—,—
schlimm,schlimmer,am schlimmsten
unitär,unitärer,am unitärsten
polyglott,—,—
sanskritisch,—,—
hellblond,—,—
wertbeständig,wertbeständiger,am wertbeständigsten
retrofuturistisch,—,—
kärglich,kärglicher,am kärglichsten
autobiografisch,autobiografischer,am autobiografischsten
nobel,nobler,am nobelsten
expressiv,expressiver,am expressivsten
generationsübergreifend,—,—
zwanzigjährlich,—,—
zeitsouverän,—,—
prädestiniert,prädestinierter,am prädestiniertesten
visuell,—,—
beidfüßig,—,—
grasgrün,—,—
intrauterin,—,—
bratfertig,—,—
semesterbegleitend,—,—
amethystfarben,—,—
mau,mauer,am mauestenam mausten
humil,humiler,am humilsten
diamanten,—,—
zweischneidig,zweischneidiger,am zweischneidigsten
unfassbar,unfassbarer,am unfassbarsten
steil,steiler,am steilsten
notfallmedizinisch,—,—
linientreu,linientreuer,am linientreuestenam linientreusten
halophil,halophiler,am halophilsten
abflusslos,—,—
museal,musealer,am musealsten
einheimisch,—,—
faszinierend,faszinierender,am faszinierendsten
berufsfremd,—,—
puppenlustig,—,—
täppisch,täppischer,am täppischsten
kontemporär,—,—
gichtkrank,—,—
Bad Harzburger,—,—
rot,röterroter,am rötestenam rotesten
tatterig,tatteriger,am tatterigsten
approximativ,—,—
karitativ,karitativer,am karitativsten
beängstigend,beängstigender,am beängstigendsten
Bad Salzdetfurther,—,—
krekel,—,—
fünfzigpfündig,—,—
finit,—,—
trinär,—,—
atemberaubend,atemberaubender,am atemberaubendsten
keck,kecker,am kecksten
ermüdend,ermüdender,am ermüdendsten
surreal,surrealer,am surrealsten
stet,—,—
mesenchymal,—,—
alexiterisch,—,—
handgeführt,—,—
bühnensprachlich,—,—
insistent,insistenter,am insistentesten
sehenswert,sehenswerter,am sehenswertesten
lebenserhaltend,—,—
märchenhaft,märchenhafter,am märchenhaftesten
dilettantisch,dilettantischer,am dilettantischsten
amtswegig,—,—
ungelernt,—,—
speiübel,speiübler,am speiübelsten
moribund,—,—
schlauchförmig,—,—
unterbewusst,—,—
planetar,—,—
paranoid,paranoider,am paranoidesten
frappant,frappanter,am frappantesten
dürftig,dürftiger,am dürftigsten
hautverträglich,hautverträglicher,am hautverträglichsten
blau-weiß-rot,—,—
verdienstvoll,verdienstvoller,am verdienstvollsten
organisational,—,—
hundertste,—,—
befriedet,—,—
konsequent,konsequenter,am konsequentesten
vierte,—,—
zumutbar,zumutbarer,am zumutbarsten
prollig,prolliger,am prolligsten
Rh-positiv,—,—
junkerlich,junkerlicher,am junkerlichsten
glitschig,glitschiger,am glitschigsten
enttäuscht,enttäuschter,am enttäuschtesten
aufgeregt,aufgeregter,am aufgeregtesten
wiederaufladbar,—,—
rednerisch,—,—
gefühllos,gefühlloser,am gefühllosesten
investiv,—,—
landespolitisch,—,—
graniten,—,—
behördlich,—,—
volar,—,—
zeithistorisch,—,—
prämiert,—,—
unappetitlich,unappetitlicher,am unappetitlichsten
konisch,konischer,am konischsten
extern,externer,am externsten
genitivisch,—,—
nigerianisch,—,—
kölnisch,—,—
automationsunterstützt,—,—
wesentlich,wesentlicher,am wesentlichsten
retardierend,—,—
terrorverdächtig,—,—
angetan,—,—
hellhörig,hellhöriger,am hellhörigsten
makellos,makelloser,am makellosesten
satanistisch,—,—
schmerzenvoll,schmerzenvoller,am schmerzenvollsten
unkontrolliert,—,—
polychron,—,—
abrupt,abrupter,am abruptesten
immateriell,immaterieller,am immateriellsten
monözisch,—,—
fragmentarisch,—,—
binokular,—,—
12-wöchig,—,—
löwenherzig,—,—
silikathaltig,silikathaltiger,am silikathaltigsten
veilchenfarben,—,—
papierlos,—,—
kaputt,kaputter,am kaputtesten
beziehungsreich,beziehungsreicher,am beziehungsreichsten
apoplektisch,apoplektischer,am apoplektischsten
tannen,—,—
erdrutschartig,—,—
ghanaisch,—,—
kontextuell,—,—
töfte,töfter,am töftesten
febril,—,—
attent,attenter,am attentesten
einfärbig,—,—
abenteuerhungrig,abenteuerhungriger,am abenteuerhungrigsten
muskelbepackt,muskelbepackter,am muskelbepacktesten
ligistisch,—,—
steinreich,steinreicher,am steinreichsten
unersprießlich,unersprießlicher,am unersprießlichsten
hundertjährig,—,—
dichotom,—,—
amitotisch,—,—
maskiert,—,—
selbstsüchtig,selbstsüchtiger,am selbstsüchtigsten
boustrophedon,—,—
verkehrsgerecht,verkehrsgerechter,am verkehrsgerechtesten
spezifisch,spezifischer,am spezifischsten
ungeklärt,—,—
disjunkt,—,—
müde,müder,am müdesten
intergalaktisch,—,—
lebendgebärend,—,—
unvergesslich,unvergesslicher,am unvergesslichsten
seeschwäbisch,—,—
böse,böser,am bösesten
handlich,handlicher,am handlichsten
merklich,merklicher,am merklichsten
alkoholhaltig,alkoholhaltiger,am alkoholhaltigsten
humeral,—,—
supradisziplinär,—,—
vorrömisch,—,—
preispolitisch,—,—
erlen,—,—
gastrointestinal,—,—
kaufmännisch,kaufmännischer,am kaufmännischsten
asymptotisch,—,—
trostlos,trostloser,am trostlosesten
wohnsitzlos,—,—
fürstbischöflich,—,—
fistelig,fisteliger,am fisteligsten
ehrlos,ehrloser,am ehrlosesten
Baden-Badener,—,—
gewusst,—,—
kriegführend,—,—
fantasiebegabt,fantasiebegabter,am fantasiebegabtesten
gehässig,gehässiger,am gehässigsten
neunmalklug,neunmalklüger,am neunmalklügsten
emergent,—,—
latent,—,—
augenscheinlich,augenscheinlicher,am augenscheinlichsten
windschlüpfrig,windschlüpfriger,am windschlüpfrigsten
reichsweit,—,—
japanisch,japanischer,am japanischsten
nicaraguanisch,—,—
glaziofluviatil,—,—
europid,—,—
bedonnert,bedonnerter,am bedonnertsten
stilvoll,stilvoller,am stilvollsten
videoüberwacht,—,—
zuckerreich,zuckerreicher,am zuckerreichsten
prestigeträchtig,prestigeträchtiger,am prestigeträchtigsten
häklich,häklicher,am häklichsten
desinteressiert,desinteressierter,am desinteressiertesten
blumenartig,—,—
dreißigminütig,—,—
maronitisch,—,—
vergnügungssüchtig,vergnügungssüchtiger,am vergnügungssüchtigsten
ortssouverän,—,—
hanfen,—,—
abaissiert,—,—
CO₂-frei,—,—
schick,schicker,am schicksten
unschmelzbar,—,—
pickelig,pickeliger,am pickeligsten
bidirektional,—,—
8-wöchig,—,—
uvular,—,—
ozeanographisch,—,—
idiomatisch,idiomatischer,am idiomatischsten
mittelfristig,—,—
schablonenhaft,schablonenhafter,am schablonenhaftesten
unmittelbar,unmittelbarer,am unmittelbarsten
possibel,—,—
verifiziert,—,—
fundiert,fundierter,am fundiertesten
druckempfindlich,druckempfindlicher,am druckempfindlichsten
herkömmlich,herkömmlicher,am herkömmlichsten
ausländerfeindlich,ausländerfeindlicher,am ausländerfeindlichsten
weißlich,weißlicher,am weißlichsten
repressiv,repressiver,am repressivsten
geltungssüchtig,geltungssüchtiger,am geltungssüchtigsten
belarussisch,—,—
kohlrabenschwarz,—,—
vollumfänglich,—,—
zervikogen,—,—
prüde,prüder,am prüdesten
wirkungsvoll,wirkungsvoller,am wirkungsvollsten
irreal,irrealer,am irrealsten
griesgrämig,griesgrämiger,am griesgrämigsten
empfehlenswert,empfehlenswerter,am empfehlenswertesten
pastös,pastöser,am pastösesten
sexbesessen,sexbesessenersexbesessner,am sexbesessensten
brokaten,—,—
intolerant,intoleranter,am intolerantesten
gärtnerisch,—,—
mediterran,—,—
altklug,—,—
nonchalant,nonchalanter,am nonchalantesten
stachelicht,stachelichter,am stachelichtesten
unerfassbar,—,—
zweckfrei,zweckfreier,am zweckfreisten
detailreich,detailreicher,am detailreichsten
mosambikanisch,—,—
abgesehen,—,—
haklich,haklicher,am haklichsten
libysch,libyscher,am libyschsten
umkehrbar,—,—
quantifizierbar,—,—
gediegen,gediegener,am gediegensten
besenrein,—,—
fekund,fekunder,am fekundesten
einsichtbar,—,—
beantwortbar,—,—
konziliant,konzilianter,am konziliantesten
tabu,—,—
rippenförmig,—,—
avirulent,—,—
episch,epischer,am epischsten
kampfbereit,—,—
architektonisch,—,—
kraftlos,kraftloser,am kraftlosesten
transregional,—,—
fidschianisch,—,—
edel,edler,am edelsten
kindlich,kindlicher,am kindlichsten
bestanden,—,—
aschblond,—,—
unabdinglich,unabdinglicher,am unabdinglichsten
systemoid,systemoider,am systemoidesten
erstgeboren,—,—
gespannt,gespannter,am gespanntesten
–,—,am allerunglücklichsten
melaninarm,—,—
sechsstündig,—,—
ablativisch,—,—
burgenländisch,—,—
nachlässig,nachlässiger,am nachlässigsten
lehmig,lehmiger,am lehmigsten
siderisch,—,—
spirituell,spiritueller,am spirituellsten
ungetestet,—,—
hochintelligent,—,—
dissoziiert,—,—
sinnbildlich,—,—
variabel,variabler,am variabelsten
formlos,formloser,am formlosesten
bisexuell,—,—
heiß geliebt,—,—
duster,dustererdustrer,am dustersten
absolutistisch,—,—
implizit,—,—
monoklonal,—,—
schmächtig,schmächtiger,am schmächtigsten
unional,—,—
defätistisch,defätistischer,am defätistischsten
angsteinflößend,angsteinflößender,am angsteinflößendsten
herbstlich,herbstlicher,am herbstlichsten
madjarisch,—,—
werbungsfrei,—,—
theatralisch,theatralischer,am theatralischsten
kalendertäglich,—,—
enossal,—,—
gottfroh,—,—
kompliziert,komplizierter,am kompliziertesten
behandtucht,—,—
geopolitisch,—,—
überrascht,überraschter,am überraschtesten
sturmbedroht,—,—
zehntausendste,—,—
unausdenkbar,—,—
facettenreich,facettenreicher,am facettenreichsten
naturbelassen,naturbelassener,am naturbelassensten
labil,labiler,am labilsten
grazil,graziler,am grazilsten
kleinkalibrig,kleinkalibriger,am kleinkalibrigsten
tobsüchtig,tobsüchtiger,am tobsüchtigsten
eisfrei,—,—
nichtjüdisch,—,—
außerbiblisch,—,—
kurabgabepflichtig,—,—
strahlenförmig,—,—
übertariflich,—,—
undatierbar,—,—
geradlinig,geradliniger,am geradlinigsten
EWR-weit,—,—
militärpflichtig,—,—
agitatorisch,agitatorischer,am agitatorischsten
smaragdgrün,—,—
freigeschoben,—,—
draufgängerisch,draufgängerischer,am draufgängerischsten
blamabel,blamabler,am blamabelsten
lunar,—,—
antarktisch,antarktischer,am antarktischsten
schweinekalt,—,—
creme,—,—
indezent,indezenter,am indezentesten
gewelscht,—,—
krisensicher,krisensichererkrisensichrer,am krisensichersten
ergötzlich,ergötzlicher,am ergötzlichsten
beugsam,beugsamer,am beugsamsten
katalanisch,katalanischer,am katalanischsten
eigenmächtig,eigenmächtiger,am eigenmächtigsten
trilliardste,—,—
wortgewandt,wortgewandter,am wortgewandtesten
rechnergesteuert,—,—
gammelig,gammeliger,am gammeligsten
kerzengerade,—,—
baltisch,baltischer,am baltischsten
sunnitisch,—,—
vorurteilsbehaftet,—,—
rückgängig,—,—
primitiv,primitiver,am primitivsten
metallic,—,—
diffizil,diffiziler,am diffizilsten
aleukämisch,—,—
honett,honetter,am honettesten
mäanderartig,—,—
literarhistorisch,—,—
unvermittelbar,—,—
pestkrank,—,—
sechzigjährig,—,—
nachgeordnet,nachgeordneter,am nachgeordnetsten
instrumental,—,—
grässlich,grässlicher,am grässlichsten
obstruktiv,—,—
SPD-geführt,—,—
zähflüssig,zähflüssiger,am zähflüssigsten
unwillkürlich,unwillkürlicher,am unwillkürlichsten
parochial,—,—
hin- und hergerissen,—,—
meterweit,—,—
vertraglich,—,—
nuptial,—,—
zweitürig,—,—
pfluglos,—,—
chic,chicer,am chicsten
halbstündig,—,—
benzinbetrieben,—,—
württembergisch,—,—
päpstlich,päpstlicher,am päpstlichsten
geregelt,geregelter,am geregeltsten
kryptomer,—,—
babyblau,—,—
wehrtechnisch,—,—
rotbraun,—,—
possessiv,possessiver,am possessivsten
rechtsorientiert,—,—
fünfminütig,—,—
eindimensional,—,—
neolithisch,—,—
ausgestülpt,—,—
landschaftlich,—,—
trans,—,—
submikroskopisch,—,—
unbefahrbar,—,—
geldhungrig,geldhungriger,am geldhungrigsten
fahlblau,—,—
kometenhaft,kometenhafter,am kometenhaftesten
überfischt,—,—
temporär,—,—
endlich,—,—
bonapartistisch,—,—
mandschurisch,—,—
androgen,—,—
souverän,souveräner,am souveränsten
schofel,schofler,am schofelsten
demütig,demütiger,am demütigsten
ich-synton,ich-syntoner,am ich-syntonsten
mittig,—,—
achtgeschoßig,—,—
siebenwöchentlich,—,—
10-prozentig,—,—
flächendeckend,—,—
dufte,dufter,am duftesten
antonymisch,—,—
schwankartig,—,—
photochrom,—,—
cisalpin,—,—
antimilitaristisch,antimilitaristischer,am antimilitaristischsten
sonnenreich,sonnenreicher,am sonnenreichsten
originär,originärer,am originärsten
fromm,frommerfrömmer,am frommstenam frömmsten
heterolytisch,—,—
dreistellig,—,—
affektiert,affektierter,am affektiertesten
mischbar,—,—
stockfinster,—,—
verzwickt,verzwickter,am verzwicktesten
praktisch,praktischer,am praktischsten
unbesonnen,unbesonnener,am unbesonnensten
ethnisch,—,—
befremdet,—,—
judaistisch,—,—
neunzigprozentig,—,—
kubanisch,kubanischer,am kubanischsten
regsam,regsamer,am regsamsten
toskisch,—,—
ivorisch,—,—
elfenhaft,elfenhafter,am elfenhaftesten
großjährig,—,—
ausgebufft,ausgebuffter,am ausgebufftesten
knochentrocken,—,—
bengalisch,—,—
mehrsätzig,—,—
verratzt,verratzter,am verratztesten
okkasionell,—,—
änderbar,—,—
unüberwindbar,—,—
internetbasiert,—,—
bumsfidel,—,—
gustatorisch,—,—
untröstlich,untröstlicher,am untröstlichsten
perkussiv,perkussiver,am perkussivsten
hochtalentiert,—,—
kosovarisch,—,—
barmherzig,barmherziger,am barmherzigsten
waagrecht,—,—
sachverständig,sachverständiger,am sachverständigsten
programmatisch,programmatischer,am programmatischsten
zehnmalig,—,—
feudal,feudaler,am feudalsten
gay,—,—
eisenbewehrt,—,—
bestusst,bestusster,am bestusstesten
wohlgenährt,wohlgenährter,am wohlgenährtesten
rank,ranker,am ranksten
gestrig,—,—
furchtsam,furchtsamer,am furchtsamsten
arbeitsfähig,arbeitsfähiger,am arbeitsfähigsten
außerhäuslich,—,—
erdgeschichtlich,—,—
waschmaschinenfest,—,—
robust,robuster,am robustesten
polycyclisch,—,—
geschmacklich,—,—
espen,—,—
bescheuert,bescheuerter,am bescheuertestenam bescheuertsten
festlich,festlicher,am festlichsten
klatschhaft,klatschhafter,am klatschhaftesten
zapfenförmig,—,—
querschnittswissenschaftlich,—,—
infallibel,—,—
habelos,—,—
liederlich,liederlicher,am liederlichsten
dezidiert,dezidierter,am dezidiertesten
versprochen,—,—
nordnigerianisch,—,—
unempfindlich,unempfindlicher,am unempfindlichsten
zweifelhaft,zweifelhafter,am zweifelhaftesten
doppelseitig,—,—
HIV-infiziert,—,—
brüsk,brüsker,am brüskesten
namibisch,—,—
lesothisch,—,—
unzustellbar,—,—
patschenass,—,—
dunkelhaarig,—,—
biliös,—,—
fluchtverdächtig,—,—
uritalisch,—,—
siebzigprozentig,—,—
modernistisch,modernistischer,am modernistischsten
achte,—,—
illiberal,illiberaler,am illiberalsten
demontierbar,—,—
hörig,höriger,am hörigsten
unmerkbar,—,—
schnäkig,schnäkiger,am schnäkigsten
saumäßig,—,—
malthusisch,—,—
angeblich,—,—
heterolog,—,—
boshaft,boshafter,am boshaftesten
endemisch,—,—
telepathisch,—,—
weißglühend,—,—
überdurchschnittlich,überdurchschnittlicher,am überdurchschnittlichsten
genehmigungsfrei,—,—
kollektivvertraglich,—,—
gelehrt,gelehrter,am gelehrtesten
fahrtüchtig,fahrtüchtiger,am fahrtüchtigsten
