positiv,komparativ,superlativ
rebellierend,rebellierender,am rebellierendsten
katarisch,—,—
betulich,betulicher,am betulichsten
erheblich,—,—
gewaltsam,gewaltsamer,am gewaltsamsten
ruinös,ruinöser,am ruinösesten
prickelnd,prickelnder,am prickelndsten
rückblickend,—,—
vorstellbar,—,—
balearisch,—,—
galloromanisch,—,—
perzeptuell,—,—
unvermeidbar,—,—
literaturwissenschaftlich,—,—
mädchenhaft,mädchenhafter,am mädchenhaftesten
homöomorph,—,—
digital,—,—
zwölffach,—,—
obdachlos,—,—
zytotoxisch,zytotoxischer,am zytotoxischsten
obsessiv,obsessiver,am obsessivsten
verkraftbar,—,—
gruppendynamisch,—,—
instantan,—,—
eiszeitlich,—,—
widersinnig,widersinniger,am widersinnigsten
todesmutig,todesmutiger,am todesmutigsten
kleinlich,kleinlicher,am kleinlichsten
geheim,geheimer,am geheimsten
exekutiv,—,—
geprescht,—,—
zugewachsen,—,—
undeklinierbar,—,—
strapaziös,strapaziöser,am strapaziösesten
kurrent,—,—
goldglänzend,—,—
außeramtlich,—,—
nichtnegativ,—,—
dreiachsig,—,—
freiheitsliebend,freiheitsliebender,am freiheitsliebendsten
blitzgescheit,—,—
sofortig,—,—
verbreitet,verbreiteter,am verbreitetsten
hygrisch,—,—
agonal,—,—
milliardstel,—,—
indefinit,—,—
cremig,cremiger,am cremigsten
untalentiert,untalentierter,am untalentiertesten
schlagartig,—,—
heimatlich,heimatlicher,am heimatlichsten
anterior,—,—
lustbetont,lustbetonter,am lustbetontesten
bizyklisch,—,—
monografisch,—,—
absetzbar,—,—
duroplastisch,—,—
heldenmütig,heldenmütiger,am heldenmütigsten
formbar,formbarer,am formbarsten
sinister,sinistrer,am sinistersten
machulle,—,—
angolanisch,—,—
defizient,defizienter,am defizientesten
schmuck,schmucker,am schmuckesten
überpünktlich,—,—
stressresistent,stressresistenter,am stressresistentesten
behavioristisch,—,—
komplektisch,komplektischer,am komplektischsten
gottlos,gottloser,am gottlosesten
enkeltauglich,enkeltauglicher,am enkeltauglichsten
kalkig,kalkiger,am kalkigsten
textuell,—,—
küstenfern,küstenferner,am küstenfernsten
nationalsozialistisch,nationalsozialistischer,am nationalsozialistischsten
fabisch,—,—
unauflöslich,—,—
stupid,more stupidstupider,most stupid stupidest
EDV-gestützt,—,—
bettelarm,—,—
fieberig,fieberiger,am fieberigsten
transzendent,—,—
rammdösig,rammdösiger,am rammdösigsten
krampfartig,krampfartiger,am krampfartigsten
baumlang,—,—
gesinnt,—,—
erstrangig,erstrangiger,am erstrangigsten
szenisch,szenischer,am szenischsten
sachbetont,—,—
aschfarben,—,—
bespielbar,bespielbarer,am bespielbarsten
kirchengenössig,—,—
burlesk,burlesker,am burleskesten
performativ,—,—
sechstel,—,—
melaninreich,—,—
allgemein bildend,—,—
distich,—,—
hochhackig,—,—
ungewährbar,—,—
offizinell,—,—
spitzfindig,spitzfindiger,am spitzfindigsten
guyanisch,—,—
leibeigen,—,—
nachrangig,nachrangiger,am nachrangigsten
sprachlos,—,—
altisländisch,—,—
medikamentös,—,—
göttlich,göttlicher,am göttlichsten
intrakulturell,—,—
brillanten,—,—
serös,seröser,am serösesten
liberal,liberaler,am liberalsten
abgeschlossen,abgeschlossenerabgeschlossner,am abgeschlossensten
morphosyntaktisch,—,—
alphabetisch,—,—
destruktiv,destruktiver,am destruktivsten
unentwickelbar,—,—
staatstragend,—,—
söhlig,—,—
konzeptuell,—,—
bebartet,—,—
einsehbar,—,—
feinsinnig,feinsinniger,am feinsinnigsten
geehrt,—,—
umgehend,—,—
arbiträr,arbiträrer,am arbiträrsten
kameradschaftlich,kameradschaftlicher,am kameradschaftlichsten
epigonisch,—,—
tabellarisch,—,—
idiotisch,idiotischer,am idiotischsten
ozonreich,ozonreicher,am ozonreichsten
vag,vager,am vagsten
8-minütig,—,—
durchfressen,durchfressenerdurchfressner,am durchfressensten
bienenhaft,—,—
heroinabhängig,—,—
drogenfrei,—,—
fummelig,fummeliger,am fummeligsten
postamtlich,—,—
unmäßig,unmäßiger,am unmäßigsten
schadenfroh,schadenfroher,am schadenfrohestenam schadenfrohsten
mitteldeutsch,—,—
derb,derber,am derbsten
geläufig,geläufiger,am geläufigsten
überbietbar,—,—
repräsentativ,repräsentativer,am repräsentativsten
wellenartig,—,—
engstirnig,engstirniger,am engstirnigsten
ausnehmend,—,—
emotionsvoll,—,—
grillig,grilliger,am grilligsten
irrelevant,irrelevanter,am irrelevantesten
neuenglisch,—,—
pseudowissenschaftlich,—,—
zickig,zickiger,am zickigsten
subglazial,—,—
voluntaristisch,voluntaristischer,am voluntaristischsten
kohlenstoffhaltig,—,—
falsifiziert,—,—
belaubt,belaubter,am belaubtesten
reichlich,reichlicher,am reichlichsten
windelweich,—,—
aufzählbar,—,—
lattenstramm,—,—
neunpfündig,—,—
