speaker,party,unique_speaker
Abgeordneter Dr. Helmut Brandstätter (NEOS),NEOS,Abgeordneter Dr. Helmut Brandstätter
Abgeordneter Josef Schellhorn,NEOS,Abgeordneter Josef Schellhorn
Abgeordneter Ing. Mag. Volker Reifenberger,FPÖ,Abgeordneter Ing. Mag. Volker Reifenberger
"Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)",Grüne,"Abgeordneter Mag. Dr. Jakob Schwarz, BA"
Abgeordneter Dr. Reinhold Lopatka,ÖVP,Abgeordneter Dr. Reinhold Lopatka
"Mitglied des Europäischen Parlaments Claudia Gamon , MSc (WU) (NEOS)",NEOS,"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU)"
"Abgeordnete Eva Maria Holzleitner, BSc",SPÖ,"Abgeordnete Eva Maria Holzleitner, BSc"
Mitglied des Europäischen Parlaments Barbara Thaler,ÖVP,Mitglied des Europäischen Parlaments Barbara Thaler
Abgeordneter Dr. Helmut Brandstätter,NEOS,Abgeordneter Dr. Helmut Brandstätter
Abgeordnete Martina Diesner-Wais (ÖVP),ÖVP,Abgeordnete Martina Diesner-Wais
Abgeordneter Rudolf Silvan,SPÖ,Abgeordneter Rudolf Silvan
Abgeordnete Mag. Ulrike Fischer,Grüne,Abgeordnete Mag. Ulrike Fischer
"Volksanwalt Werner Amon, MBA",ÖVP,"Volksanwalt Werner Amon, MBA"
Volksanwalt Mag. Bernhard Achitz,SPÖ,Volksanwalt Mag. Bernhard Achitz
Volksanwalt Dr. Walter Rosenkranz,FPÖ,Volksanwalt Dr. Walter Rosenkranz
Abgeordneter Mag. Peter Weidinger,ÖVP,Abgeordneter Mag. Peter Weidinger
"Abgeordnete Petra Bayr, MA MLS",SPÖ,"Abgeordnete Petra Bayr, MA MLS"
"Abgeordnete Rosa Ecker, MBA",FPÖ,"Abgeordnete Rosa Ecker, MBA"
Abgeordneter Mag. Michael Hammer,ÖVP,Abgeordneter Mag. Michael Hammer
Abgeordneter Mag. Markus Koza (Grüne),Grüne,Abgeordneter Mag. Markus Koza
Abgeordnete Rebecca Kirchbaumer (ÖVP),ÖVP,Abgeordnete Rebecca Kirchbaumer
Abgeordnete Mag. Meri Disoski,Grüne,Abgeordnete Mag. Meri Disoski
Abgeordneter Mag. Ernst Gödl,ÖVP,Abgeordneter Mag. Ernst Gödl
Abgeordnete Bettina Zopf (ÖVP),ÖVP,Abgeordnete Bettina Zopf
Abgeordnete Tanja Graf (ÖVP),ÖVP,Abgeordnete Tanja Graf
Abgeordneter Andreas Minnich,ÖVP,Abgeordneter Andreas Minnich
Abgeordnete Dr. Dagmar Belakowitsch (FPÖ),FPÖ,Abgeordnete Dr. Dagmar Belakowitsch
Abgeordneter Hermann Gahr (ÖVP),ÖVP,Abgeordneter Hermann Gahr
Abgeordneter Ing. Reinhold Einwallner,SPÖ,Abgeordneter Ing. Reinhold Einwallner
Abgeordnete Nurten Yılmaz (SPÖ),SPÖ,Abgeordnete Nurten Yılmaz
Abgeordneter Christian Ries,FPÖ,Abgeordneter Christian Ries
Abgeordnete Mag. Meri Disoski (Grüne),Grüne,Abgeordnete Mag. Meri Disoski
Abgeordnete Henrike Brandstötter (NEOS),NEOS,Abgeordnete Henrike Brandstötter
Abgeordnete Mag. Johanna Jachs (ÖVP),ÖVP,Abgeordnete Mag. Johanna Jachs
Abgeordneter Ing. Manfred Hofinger (ÖVP),ÖVP,Abgeordneter Ing. Manfred Hofinger
Abgeordnete Mag. Faika El-Nagashi,Grüne,Abgeordnete Mag. Faika El-Nagashi
Abgeordnete Sabine Schatz (SPÖ),SPÖ,Abgeordnete Sabine Schatz
Abgeordneter Mag. Martin Engelberg (ÖVP),ÖVP,Abgeordneter Mag. Martin Engelberg
Abgeordneter Andreas Kollross (SPÖ),SPÖ,Abgeordneter Andreas Kollross
Abgeordneter Nikolaus Prinz (ÖVP),ÖVP,Abgeordneter Nikolaus Prinz
Abgeordnete Carina Reiter (ÖVP),ÖVP,Abgeordnete Carina Reiter
"Abgeordneter Hermann Brückl, MA (FPÖ)",FPÖ,"Abgeordneter Hermann Brückl, MA"
Abgeordneter Michael Bernhard (NEOS),NEOS,Abgeordneter Michael Bernhard
Abgeordneter Robert Laimer (SPÖ),SPÖ,Abgeordneter Robert Laimer
Abgeordnete Mag. Corinna Scharzenberger (ÖVP),ÖVP,Abgeordnete Mag. Corinna Scharzenberger
Abgeordneter Christian Lausch (FPÖ),FPÖ,Abgeordneter Christian Lausch
Abgeordnete Mag. Ruth Becher (SPÖ),SPÖ,Abgeordnete Mag. Ruth Becher
Abgeordneter Rudolf Silvan (SPÖ),SPÖ,Abgeordneter Rudolf Silvan
"Bundeskanzler Mag. Alexander Schallenberg, LL.M.",ÖVP,"Mag. Alexander Schallenberg, LL.M."
"Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler",Grüne,Mag. Werner Kogler
"Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)",SPÖ,"Abgeordnete Dr. Pamela Rendi-Wagner, MSc"
Bundesminister für europäische und internationale Angelegenheiten Dr. Michael Linhart,ÖVP,Bundesminister für europäische und internationale Angelegenheiten Dr. Michael Linhart
Abgeordneter MMMag. Dr. Axel Kassegger,FPÖ,Abgeordneter MMMag. Dr. Axel Kassegger
Abgeordneter Peter Haubner,ÖVP,Abgeordneter Peter Haubner
Abgeordnete Mag. Eva Blimlinger (Grüne),Grüne,Abgeordnete Mag. Eva Blimlinger
Abgeordnete Claudia Plakolm (ÖVP),ÖVP,Abgeordnete Claudia Plakolm
Abgeordneter Dipl.-Ing. Georg Strasser,ÖVP,Abgeordneter Dipl.-Ing. Georg Strasser
Abgeordneter Johannes Schmuckenschlager (ÖVP),ÖVP,Abgeordneter Johannes Schmuckenschlager
Abgeordneter Dr. Christoph Matznetter,SPÖ,Abgeordneter Dr. Christoph Matznetter
Abgeordneter Mag. Andreas Hanger,ÖVP,Abgeordneter Mag. Andreas Hanger
Abgeordneter Josef Schellhorn (NEOS),NEOS,Abgeordneter Josef Schellhorn
"Abgeordnete Bedrana Ribo, MA",Grüne,"Abgeordnete Bedrana Ribo, MA"
Abgeordneter Dr. Josef Smolle (ÖVP),ÖVP,Abgeordneter Dr. Josef Smolle
"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober",Grüne,"Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz Rudolf Anschober"
"Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)",ÖVP,"Abgeordneter Dr. Werner Saxinger, MSc"
Abgeordnete Mag. Elisabeth Scheucher-Pichler,ÖVP,Abgeordnete Mag. Elisabeth Scheucher-Pichler
Abgeordnete Dr. Ewa Ernst-Dziedzic (Grüne),Grüne,Abgeordnete Dr. Ewa Ernst-Dziedzic
Abgeordneter Ralph Schallmeiner (Grüne),Grüne,Abgeordneter Ralph Schallmeiner
Abgeordnete Ing. Mag. (FH) Alexandra Tanda (ÖVP),ÖVP,Abgeordnete Ing. Mag. (FH) Alexandra Tanda
Abgeordneter Karlheinz Kopf (ÖVP),ÖVP,Abgeordneter Karlheinz Kopf
Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ),FPÖ,Abgeordneter MMag. DDr. Hubert Fuchs
Abgeordneter Peter Haubner (ÖVP),ÖVP,Abgeordneter Peter Haubner
"Abgeordnete Petra Bayr, MA MLS (SPÖ)",SPÖ,"Abgeordnete Petra Bayr, MA MLS"
Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck,ÖVP,Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck
Abgeordnete Julia Elisabeth Herr,SPÖ,Abgeordnete Julia Elisabeth Herr
